縣市,縣市別代碼,行政區,行政區代碼,地點,地址,花種,觀賞時期
臺中市,10019,后里區,66000150,泰安派出所,臺中市后里區安眉路27號,櫻花,2月-3月
臺中市,10019,后里區,66000150,中社花市,臺中市后里區三豐路五段333號,鬱金香,1月-3月
臺中市,10019,后里區,66000150,中社花市,臺中市后里區三豐路五段333號,荷花,6月-8月
臺中市,10019,后里區,66000150,中社花市,臺中市后里區三豐路五段333號,百合花,11月-4月
臺中市,10019,后里區,66000150,麗寶樂園,臺中市后里區福容路8號,落羽松,12月
臺中市,10019,東勢區,66000100,東勢林場,臺中市東勢區勢林街6-1號,梅花,1月-2月
臺中市,10019,東勢區,66000100,東勢林場,臺中市東勢區勢林街6-1號,櫻花,2月-3月
臺中市,10019,東勢區,66000100,東勢林場,臺中市東勢區勢林街6-1號,桐花,4-5月
臺中市,10019,東勢區,66000100,東勢林場,臺中市東勢區勢林街6-1號,楓葉,11-12月
臺中市,10019,東勢區,66000100,東勢河濱公園,臺中市東勢區東關路七段,木棉花,4月
臺中市,10019,東勢區,66000100,東勢河濱公園,臺中市東勢區東關路七段,阿勃勒,5月-6月
臺中市,10019,東勢區,66000100,東勢林業文化園區,臺中市東勢區東關路647號,鳳凰花,5月-6月
臺中市,10019,東勢區,66000100,東勢林業文化園區,臺中市東勢區東關路647號,荷花,6月-8月
臺中市,10019,和平區,66000290,大雪山國家森林遊樂園區,臺中市和平區雪山路18號,櫻花,2月-3月
臺中市,10019,和平區,66000290,大雪山國家森林遊樂園區,臺中市和平區雪山路18號,楓葉,11月-12月
臺中市,10019,和平區,66000290,八仙山國家森林遊樂園區,臺中市和平區東關路一段200之8號,楓葉,11月-12月
臺中市,10019,和平區,66000290,武陵農場,臺中市和平區平等里武陵路3-1號,櫻花,2月-3月
臺中市,10019,和平區,66000290,武陵農場,臺中市和平區平等里武陵路3-1號,紫藤花,3月-4月
臺中市,10019,和平區,66000290,武陵農場,臺中市和平區平等里武陵路3-1號,楓葉,11月-12月
臺中市,10019,和平區,66000290,福壽山農場,臺中市和平區梨山村福壽路29號,魯冰花,5月-6月
臺中市,10019,和平區,66000290,福壽山農場,臺中市和平區梨山村福壽路29號,玻斯菊,9月
臺中市,10019,和平區,66000290,福壽山農場,臺中市和平區梨山村福壽路29號,楓葉,11月-12月
臺中市,10019,新社區,66000190,櫻木花道,臺中市新社區中和街三段56巷16號,櫻花,2月-3月
臺中市,10019,新社區,66000190,薰衣草森林,臺中市新社區中興街20號,薰衣草,1月-5月
臺中市,10019,新社區,66000190,薰衣草森林,臺中市新社區中興街20號,繡球花,5月-6月
臺中市,10019,新社區,66000190,詠惠生技有限公司,臺中市新社區興中街42-1號,紫藤花,3月-4月
臺中市,10019,新社區,66000190,沐心泉休閒農場,臺中市新社區中和村中興街60號,黃金風鈴木,3月
臺中市,10019,新社區,66000190,沐心泉休閒農場,臺中市新社區中和村中興街60號,桐花,4月-5月
臺中市,10019,新社區,66000190,沐心泉休閒農場,臺中市新社區中和村中興街60號,金針花,6月-8月
臺中市,10019,潭子區,66000170,新田登山步道,臺中市潭子區龍興巷,落羽松,12月
臺中市,10019,北屯區,66000080,文昌國小旁,臺中市北屯區昌平路一段91號,櫻花,2月-3月
臺中市,10019,北屯區,66000080,?子公園,臺中市北屯區?子路418號,黃金風鈴木,2月-3月
臺中市,10019,太平區,66000270,新福公園,臺中市太平區旱溪東路二段,阿勃勒,5月-6月
臺中市,10019,霧峰區,66000260,亞洲大學,臺中市霧峰區柳豐路500號,阿勃勒,5月-6月
臺中市,10019,霧峰區,66000260,亞洲大學,臺中市霧峰區柳豐路500號,鳳凰花,5月-6月
臺中市,10019,霧峰區,66000260,亞洲大學,臺中市霧峰區柳豐路500號,荷花,6月-8月
臺中市,10019,大里區,66000280,國光公園,臺中市大里區興大南街43號,鳳凰花,5月-6月
臺中市,10019,烏日區,66000230,芬園花卉生產休憩園區,臺中市烏日區慶光路12-16號,櫻花,2-3月
臺中市,10019,烏日區,66000230,知高圳步道,臺中市烏日區中山路三段登寺巷176號,芒花,10月-11月
臺中市,10019,東區,66000020,樂成公園,臺中市東區東信里一心街與東英五街口,黃金風鈴木,2月-3月
臺中市,10019,南區,66000030,興大園區,臺中市東區興大路,阿勃勒,5月-6月
臺中市,10019,西區,66000040,國立臺灣美術館,臺中市西區五權西路一段2號,阿勃勒,5月-6月
臺中市,10019,南屯區,66000070,文心森林公園,臺中市南屯區文心路一段289號,黃金風鈴木,2月-3月
臺中市,10019,南屯區,66000070,文心森林公園,臺中市南屯區文心路一段289號,欒樹花,10月
臺中市,10019,南屯區,66000070,豐樂雕塑公園,臺中市南屯區文心南五路331號,欒樹花,10月
臺中市,10019,西屯區,66000060,東海大學,臺中市西屯區臺灣大道四段1727號,鳳凰花,5月-6月
臺中市,10019,西屯區,66000060,都會公園,臺中市西屯區都會園路1215巷140號,木棉花,4月
臺中市,10019,清水區,66000120,五福圳自行車道,臺中市清水區中山路422-12號,荷花,6月-8月
臺中市,10019,清水區,66000120,趙家古厝,臺中市清水區荷園街168號,荷花,6月-8月
臺中市,10019,大甲區,66000110,大甲鐵砧山風景特定區,臺中市大甲區成功路221號,櫻花,2月-3月
臺中市,10019,外埔區,66000210,水流東桐花步道,臺中市外埔區六支巷路21號,桐花,4月-5月
臺中市,10019,外埔區,66000210,水頭二路,臺中市外埔區水頭二路,海芋,4月
